X = 9.17     Z = 170.97  
X = 9.115    Z = 171.105 
X = 9.055    Z = 171.145 
X = 8.995    Z = 171.065 
X = 8.925    Z = 170.945 
X = 8.865    Z = 170.89  
X = 8.805    Z = 170.88  
X = 8.75     Z = 170.93  
X = 8.69     Z = 170.975 
X = 8.63     Z = 170.975 
X = 8.57     Z = 170.995 
X = 8.515    Z = 171.085 
X = 8.46     Z = 171.19  
X = 8.4      Z = 171.215 
X = 8.335    Z = 171.15  
X = 8.275    Z = 171.115 
X = 8.22     Z = 171.165 
X = 8.16     Z = 171.22  
X = 8.1      Z = 171.235 
X = 8.04     Z = 171.18  
X = 7.98     Z = 171.16  
X = 7.92     Z = 171.145 
X = 7.86     Z = 171.175 
X = 7.8      Z = 171.225 
X = 7.74     Z = 171.255 
X = 7.685    Z = 171.27  
X = 7.625    Z = 171.28  
X = 7.565    Z = 171.31  
X = 7.505    Z = 171.335 
X = 7.445    Z = 171.33  
X = 7.385    Z = 171.335 
X = 7.33     Z = 171.38  
X = 7.27     Z = 171.43  
X = 7.21     Z = 171.455 
X = 7.15     Z = 171.47  
X = 7.09     Z = 171.49  
X = 7.03     Z = 171.485 
X = 6.97     Z = 171.465 
X = 6.91     Z = 171.475 
X = 6.85     Z = 171.46  
X = 6.79     Z = 171.455 
X = 6.73     Z = 171.475 
X = 6.67     Z = 171.505 
X = 6.615    Z = 171.53  
X = 6.55     Z = 171.515 
X = 6.49     Z = 171.48  
X = 6.43     Z = 171.445 
X = 6.37     Z = 171.425 
X = 6.31     Z = 171.43  
X = 6.25     Z = 171.45  
X = 6.19     Z = 171.47  
X = 6.13     Z = 171.5   
X = 6.075    Z = 171.515 
X = 6.015    Z = 171.495 
X = 5.95     Z = 171.48  
X = 5.895    Z = 171.5   
X = 5.835    Z = 171.55  
X = 5.775    Z = 171.59  
X = 5.715    Z = 171.585 
X = 5.655    Z = 171.56  
X = 5.595    Z = 171.575 
X = 5.535    Z = 171.625 
X = 5.48     Z = 171.695 
X = 5.42     Z = 171.675 
X = 5.355    Z = 171.675 
X = 5.3      Z = 171.72  
X = 5.24     Z = 171.77  
X = 5.18     Z = 171.84  
X = 5.125    Z = 171.925 
X = 5.06     Z = 171.885 
X = 5        Z = 171.81  
X = 4.94     Z = 171.825 
X = 4.885    Z = 171.905 
X = 4.825    Z = 171.975 
X = 4.765    Z = 171.99  
X = 4.705    Z = 171.93  
X = 4.645    Z = 171.93  
X = 4.585    Z = 171.935 
X = 4.53     Z = 171.985 
X = 4.47     Z = 172.07  
X = 4.41     Z = 172.125 
X = 4.355    Z = 172.135 
X = 4.29     Z = 172.04  
X = 4.23     Z = 171.99  
X = 4.17     Z = 171.995 
X = 4.115    Z = 172.005 
X = 4.055    Z = 172.075 
X = 4        Z = 172.19  
X = 3.94     Z = 172.19  
X = 3.89     Z = 172.68  
X = 6.89     Z = 0       
X = 6.765    Z = 0       
X = 6.64     Z = 0       
X = 6.515    Z = 0       
X = 6.39     Z = 0       
X = 6.265    Z = 0       
X = 6.145    Z = 0       
X = 3.16     Z = 152.37  
X = 3.11     Z = 152.445 
X = 3.055    Z = 152.485 
X = 3.005    Z = 152.485 
X = 2.95     Z = 152.475 
X = 2.895    Z = 152.48  
X = 2.845    Z = 152.5   
X = 2.79     Z = 152.485 
X = 2.735    Z = 152.45  
X = 2.68     Z = 152.445 
X = 2.63     Z = 152.475 
X = 2.575    Z = 152.495 
X = 2.52     Z = 152.505 
X = 2.47     Z = 152.52  
X = 2.415    Z = 152.51  
X = 2.36     Z = 152.495 
X = 2.31     Z = 152.52  
X = 2.255    Z = 152.525 
X = 2.2      Z = 152.525 
X = 2.15     Z = 152.54  
X = 2.095    Z = 152.535 
X = 2.04     Z = 152.565 
X = 1.99     Z = 152.625 
X = 1.935    Z = 152.63  
X = 1.88     Z = 152.595 
X = 1.825    Z = 152.57  
X = 1.775    Z = 152.58  
X = 1.72     Z = 152.595 
X = 1.665    Z = 152.59  
X = 1.615    Z = 152.595 
X = 1.56     Z = 152.61  
X = 1.505    Z = 152.63  
X = 1.455    Z = 152.645 
X = 1.4      Z = 152.655 
X = 1.345    Z = 152.64  
X = 1.295    Z = 152.635 
X = 1.24     Z = 152.67  
X = 1.185    Z = 152.68  
X = 1.13     Z = 152.72  
X = 1.08     Z = 152.805 
X = 1.025    Z = 152.815 
X = 0.97     Z = 152.74  
X = 0.92     Z = 152.73  
X = 0.865    Z = 152.76  
X = 0.81     Z = 152.755 
X = 0.76     Z = 152.755 
X = 0.705    Z = 152.76  
X = 0.65     Z = 152.765 
X = 0.595    Z = 152.755 
X = 0.545    Z = 152.73  
X = 0.49     Z = 152.73  
X = 0.435    Z = 152.765 
X = 0.38     Z = 152.78  
X = 0.33     Z = 152.765 
X = 0.275    Z = 152.785 
X = 0.22     Z = 152.835 
X = 0.17     Z = 152.86  
X = 0.115    Z = 152.865 
X = 0.06     Z = 152.86  
X = 0.01     Z = 152.9   
X = -0.045   Z = 152.94  
X = -0.1     Z = 152.95  
X = -0.155   Z = 152.96  
X = -0.205   Z = 152.97  
X = -0.26    Z = 152.975 
X = -0.315   Z = 152.95  
X = -0.37    Z = 152.93  
X = -0.425   Z = 152.95  
X = -0.475   Z = 152.945 
X = -0.53    Z = 152.91  
X = -0.585   Z = 152.925 
X = -0.635   Z = 152.95  
X = -0.69    Z = 152.945 
X = -0.745   Z = 152.955 
X = -0.8     Z = 152.985 
X = -0.85    Z = 153.04  
X = -0.905   Z = 153.09  
X = -0.96    Z = 153.11  
X = -1.015   Z = 153.11  
X = -1.07    Z = 153.08  
X = -1.12    Z = 153.055 
X = -1.175   Z = 153.065 
X = -1.23    Z = 153.08  
X = -1.285   Z = 153.08  
X = -1.335   Z = 153.09  
X = -1.39    Z = 153.1   
X = -1.445   Z = 153.105 
X = -1.5     Z = 153.115 
X = -1.55    Z = 153.13  
X = -1.605   Z = 153.15  
X = -1.66    Z = 153.165 
X = -1.715   Z = 153.17  
X = -1.77    Z = 153.165 
X = -1.82    Z = 153.145 
X = -1.875   Z = 153.15  
X = -1.93    Z = 153.175 
X = -1.98    Z = 153.16  
X = -2.035   Z = 153.16  
X = -2.09    Z = 153.185 
X = -2.145   Z = 153.18  
X = -2.2     Z = 153.16  
X = -2.25    Z = 153.18  
X = -2.305   Z = 153.24  
X = -2.36    Z = 153.255 
X = -2.415   Z = 153.245 
X = -2.47    Z = 153.265 
X = -2.52    Z = 153.29  
X = -2.575   Z = 153.3   
X = -2.63    Z = 153.295 
X = -2.685   Z = 153.285 
X = -2.74    Z = 153.29  
X = -2.79    Z = 153.295 
X = -2.845   Z = 153.31  
X = -2.9     Z = 153.315 
X = -2.955   Z = 153.32  
X = -3.005   Z = 153.315 
X = -3.06    Z = 153.31  
X = -3.115   Z = 153.325 
X = -3.17    Z = 153.315 
X = -3.225   Z = 153.315 
X = -3.275   Z = 153.33  
X = -3.33    Z = 153.305 
X = -3.385   Z = 153.305 
X = -3.44    Z = 153.34  
X = -3.495   Z = 153.345 
X = -3.545   Z = 153.325 
X = -3.6     Z = 153.34  
X = -3.655   Z = 153.37  
X = -3.71    Z = 153.385 
X = -3.765   Z = 153.435 
X = -3.82    Z = 153.47  
X = -3.87    Z = 153.48  
X = -3.93    Z = 153.52  
X = -3.98    Z = 153.55  
X = -4.035   Z = 153.575 
X = -4.09    Z = 153.595 
X = -4.145   Z = 153.555 
X = -4.2     Z = 153.53  
X = -4.25    Z = 153.545 
X = -4.305   Z = 153.555 
X = -4.36    Z = 153.575 
X = -4.415   Z = 153.62  
X = -4.47    Z = 153.615 
X = -4.525   Z = 153.57  
X = -4.575   Z = 153.53  
X = -4.63    Z = 153.555 
X = -4.685   Z = 153.59  
X = -4.745   Z = 153.605 
X = -4.8     Z = 153.64  
X = -4.855   Z = 153.685 
X = -4.905   Z = 153.705 
X = -4.96    Z = 153.69  
X = -5.015   Z = 153.7   
X = -5.07    Z = 153.705 
X = -5.125   Z = 153.695 
X = -5.18    Z = 153.745 
X = -5.235   Z = 153.795 
X = -5.29    Z = 153.8   
X = -5.345   Z = 153.785 
X = -5.4     Z = 153.745 
X = -5.45    Z = 153.71  
X = -5.505   Z = 153.695 
X = -5.56    Z = 153.72  
X = -5.615   Z = 153.77  
X = -5.67    Z = 153.775 
X = -5.725   Z = 153.77  
X = -5.78    Z = 153.79  
X = -5.835   Z = 153.81  
X = -5.89    Z = 153.805 
X = -5.94    Z = 153.765 
X = -5.995   Z = 153.755 
X = -6.05    Z = 153.775 
X = -6.105   Z = 153.775 
X = -6.16    Z = 153.785 
X = -6.215   Z = 153.82  
X = -6.27    Z = 153.835 
X = -6.325   Z = 153.84  
X = -6.38    Z = 153.83  
X = -6.43    Z = 153.795 
X = -6.485   Z = 153.785 
X = -6.54    Z = 153.8   
X = -6.595   Z = 153.82  
X = -6.655   Z = 153.865 
X = -6.705   Z = 153.865 
X = -6.76    Z = 153.81  
X = -6.81    Z = 153.775 
X = -6.865   Z = 153.815 
X = -6.925   Z = 153.88  
X = -6.98    Z = 153.935 
X = -7.035   Z = 153.95  
X = -7.09    Z = 153.925 
X = -7.145   Z = 153.905 
X = -7.2     Z = 153.915 
X = -7.255   Z = 153.935 
X = -7.31    Z = 153.95  
X = -7.365   Z = 153.97  
X = -7.42    Z = 153.995 
X = -7.475   Z = 153.99  
X = -7.525   Z = 153.975 
X = -7.58    Z = 153.985 
X = -7.635   Z = 154.01  
X = -7.69    Z = 154     
X = -7.745   Z = 153.995 
X = -7.8     Z = 153.99  
X = -7.855   Z = 154.01  
X = -7.91    Z = 154.055 
X = -7.965   Z = 154.08  
X = -8.02    Z = 154.07  
X = -8.075   Z = 154.025 
X = -8.13    Z = 154.02  
X = -8.185   Z = 154.095 
X = -8.24    Z = 154.14  
X = -8.295   Z = 154.135 
X = -8.35    Z = 154.15  
X = -8.41    Z = 154.18  
X = -8.465   Z = 154.2   
X = -8.515   Z = 154.195 
X = -8.57    Z = 154.185 
X = -8.625   Z = 154.195 
X = -8.685   Z = 154.225 
X = -8.74    Z = 154.24  
X = -8.79    Z = 154.21  
X = -8.845   Z = 154.18  
X = -8.9     Z = 154.17  
X = -8.955   Z = 154.17  
X = -9.01    Z = 154.205 
X = -9.07    Z = 154.29  
X = -9.13    Z = 154.375 
X = -9.185   Z = 154.385 
X = -9.235   Z = 154.315 
X = -9.29    Z = 154.275 
X = -9.345   Z = 154.28  
X = -9.4     Z = 154.295 
X = -9.455   Z = 154.32  
X = -9.51    Z = 154.31  
X = -9.565   Z = 154.275 
X = -9.62    Z = 154.285 
X = -9.675   Z = 154.3   
X = -9.73    Z = 154.315 
X = -9.785   Z = 154.33  
X = -9.84    Z = 154.325 
X = -9.895   Z = 154.37  
X = -9.955   Z = 154.425 
X = -10.01   Z = 154.425 
X = -10.065  Z = 154.4   
X = -10.12   Z = 154.385 
X = -10.175  Z = 154.39  
X = -10.23   Z = 154.45  
X = -10.29   Z = 154.52  
X = -10.345  Z = 154.535 
X = -10.4    Z = 154.52  
X = -10.455  Z = 154.525 
X = -10.515  Z = 154.555 
X = -10.565  Z = 154.53  
X = -10.62   Z = 154.475 
X = -10.67   Z = 154.39  
X = -10.72   Z = 154.36  
X = -10.78   Z = 154.395 
X = -10.835  Z = 154.435 
X = -10.89   Z = 154.435 
X = -10.945  Z = 154.44  
X = -11      Z = 154.47  
X = -11.06   Z = 154.5   
X = -11.115  Z = 154.51  
X = -11.17   Z = 154.555 
X = -11.23   Z = 154.64  
X = -11.285  Z = 154.605 
X = -11.335  Z = 154.525 
X = -11.385  Z = 154.47  
X = -11.445  Z = 154.515 
X = -11.505  Z = 154.58  
X = -11.56   Z = 154.65  
X = -11.62   Z = 154.675 
X = -11.67   Z = 154.625 
X = -11.725  Z = 154.635 
X = -11.785  Z = 154.665 
X = -11.835  Z = 154.645 
X = -11.895  Z = 154.655 
X = -11.95   Z = 154.705 
X = -12.01   Z = 154.745 
X = -12.065  Z = 154.745 
X = -12.12   Z = 154.73  
X = -12.17   Z = 154.67  
X = -12.225  Z = 154.66  
X = -12.285  Z = 154.725 
X = -12.34   Z = 154.79  
X = -12.4    Z = 154.825 
X = -12.455  Z = 154.815 
X = -12.51   Z = 154.805 
X = -12.565  Z = 154.815 
X = -12.62   Z = 154.81  
X = -12.67   Z = 154.795 
X = -12.725  Z = 154.74  
X = -12.775  Z = 154.705 
