X = -7.245   Z = 153.785 
X = -7.305   Z = 153.815 
X = -7.355   Z = 153.8   
X = -7.41    Z = 153.79  
X = -7.465   Z = 153.835 
X = -7.525   Z = 153.89  
X = -7.58    Z = 153.935 
X = -7.635   Z = 153.945 
X = -7.69    Z = 153.945 
X = -7.745   Z = 153.945 
X = -7.795   Z = 153.91  
X = -7.85    Z = 153.855 
X = -7.9     Z = 153.81  
X = -7.955   Z = 153.805 
X = -8.015   Z = 153.875 
X = -8.07    Z = 153.94  
X = -8.125   Z = 153.945 
X = -8.18    Z = 153.935 
X = -8.23    Z = 153.91  
X = -8.285   Z = 153.895 
X = -8.34    Z = 153.93  
X = -8.4     Z = 154.025 
X = -8.46    Z = 154.095 
X = -8.51    Z = 154.08  
X = -8.565   Z = 154.04  
X = -8.62    Z = 154.05  
X = -8.675   Z = 154.055 
X = -8.73    Z = 154.04  
X = -8.78    Z = 154.015 
X = -8.84    Z = 154.05  
X = -8.895   Z = 154.1   
X = -8.95    Z = 154.105 
X = -9.005   Z = 154.125 
X = -9.06    Z = 154.135 
X = -9.115   Z = 154.11  
X = -9.17    Z = 154.075 
X = -9.225   Z = 154.05  
X = -9.275   Z = 154.01  
X = -9.33    Z = 153.98  
X = -9.385   Z = 153.995 
X = -9.445   Z = 154.065 
X = -9.5     Z = 154.125 
X = -9.56    Z = 154.17  
X = -9.615   Z = 154.185 
X = -9.67    Z = 154.19  
X = -9.725   Z = 154.18  
X = -9.78    Z = 154.175 
X = -9.835   Z = 154.185 
X = -9.89    Z = 154.265 
X = -9.955   Z = 154.37  
X = -10.01   Z = 154.4   
X = -10.065  Z = 154.37  
X = -10.115  Z = 154.35  
X = -10.17   Z = 154.32  
X = -10.22   Z = 154.26  
X = -10.27   Z = 154.175 
X = -10.325  Z = 154.115 
X = -10.38   Z = 154.135 
X = -10.435  Z = 154.205 
X = -10.495  Z = 154.275 
X = -10.555  Z = 154.32  
X = -10.61   Z = 154.335 
X = -10.665  Z = 154.335 
X = -10.72   Z = 154.33  
X = -10.775  Z = 154.345 
X = -10.83   Z = 154.375 
X = -10.885  Z = 154.385 
X = -10.94   Z = 154.385 
X = -11      Z = 154.405 
X = -11.055  Z = 154.425 
X = -11.11   Z = 154.41  
X = -11.16   Z = 154.39  
X = -11.22   Z = 154.425 
X = -11.275  Z = 154.47  
X = -11.33   Z = 154.46  
X = -11.385  Z = 154.47  
X = -11.445  Z = 154.51  
X = -11.5    Z = 154.53  
X = -11.555  Z = 154.54  
X = -11.61   Z = 154.545 
X = -11.665  Z = 154.55  
X = -11.72   Z = 154.545 
X = -11.775  Z = 154.52  
X = -11.83   Z = 154.515 
X = -11.885  Z = 154.55  
X = -11.94   Z = 154.54  
X = -11.995  Z = 154.5   
X = -12.045  Z = 154.47  
X = -12.1    Z = 154.5   
X = -12.16   Z = 154.56  
X = -12.22   Z = 154.57  
X = -12.27   Z = 154.56  
X = -12.325  Z = 154.555 
X = -12.38   Z = 154.55  
X = -12.44   Z = 154.575 
X = -12.5    Z = 154.65  
X = -12.555  Z = 154.715 
X = -12.61   Z = 154.7   
X = -12.66   Z = 154.585 
X = -12.705  Z = 154.46  
