X = 10.53    Z = 234.655 
X = 10.45    Z = 234.68  
X = 10.375   Z = 234.7   
X = 10.295   Z = 234.61  
X = 10.215   Z = 234.6   
X = 10.145   Z = 234.71  
X = 10.07    Z = 234.82  
X = 9.99     Z = 234.81  
X = 9.915    Z = 234.77  
X = 9.835    Z = 234.765 
X = 9.76     Z = 234.815 
X = 9.685    Z = 234.83  
X = 9.605    Z = 234.83  
X = 9.53     Z = 234.845 
X = 9.45     Z = 234.855 
X = 9.375    Z = 234.825 
X = 9.295    Z = 234.825 
X = 9.22     Z = 234.835 
X = 9.14     Z = 234.77  
X = 9.06     Z = 234.745 
X = 8.985    Z = 234.81  
X = 8.91     Z = 234.815 
X = 8.83     Z = 234.815 
X = 8.755    Z = 234.92  
X = 8.68     Z = 234.92  
X = 8.6      Z = 234.78  
X = 8.52     Z = 234.735 
X = 8.44     Z = 234.75  
X = 8.365    Z = 234.765 
X = 8.29     Z = 234.8   
X = 8.21     Z = 234.7   
X = 8.125    Z = 234.445 
X = 8.045    Z = 234.35  
X = 7.965    Z = 234.365 
X = 7.89     Z = 234.365 
X = 7.81     Z = 234.345 
X = 7.735    Z = 234.34  
X = 7.66     Z = 234.455 
X = 7.585    Z = 234.49  
X = 7.505    Z = 234.46  
X = 7.43     Z = 234.495 
X = 7.355    Z = 234.53  
X = 7.275    Z = 234.47  
X = 7.195    Z = 234.34  
X = 7.115    Z = 234.265 
X = 7.035    Z = 234.21  
X = 6.96     Z = 234.235 
X = 6.88     Z = 234.22  
X = 6.805    Z = 234.225 
X = 6.73     Z = 234.275 
X = 6.655    Z = 234.38  
X = 6.58     Z = 234.46  
X = 6.5      Z = 234.41  
X = 6.42     Z = 234.29  
X = 6.34     Z = 234.3   
X = 6.27     Z = 234.41  
X = 6.19     Z = 234.455 
X = 6.115    Z = 234.46  
X = 6.035    Z = 234.45  
X = 5.96     Z = 234.41  
X = 5.88     Z = 234.4   
X = 5.805    Z = 234.43  
X = 5.73     Z = 234.46  
X = 5.65     Z = 234.445 
X = 5.575    Z = 234.345 
X = 5.495    Z = 234.21  
X = 5.415    Z = 234.145 
X = 5.335    Z = 234.1   
X = 5.26     Z = 234.1   
X = 5.185    Z = 234.14  
X = 5.11     Z = 234.19  
X = 5.035    Z = 234.24  
X = 4.955    Z = 234.28  
X = 4.88     Z = 234.26  
X = 4.8      Z = 234.19  
X = 4.725    Z = 234.18  
X = 4.65     Z = 234.225 
X = 4.57     Z = 234.285 
X = 4.495    Z = 234.31  
