X = 20.93    Z = 265.01  
X = 20.85    Z = 265.02  
X = 20.77    Z = 265.045 
X = 20.69    Z = 265.06  
X = 20.62    Z = 265.01  
X = 20.55    Z = 264.91  
X = 20.48    Z = 264.84  
X = 20.4     Z = 264.835 
X = 20.325   Z = 264.83  
X = 20.255   Z = 264.76  
X = 20.18    Z = 264.685 
X = 20.11    Z = 264.635 
X = 20.03    Z = 264.67  
X = 19.95    Z = 264.71  
X = 19.87    Z = 264.745 
X = 19.79    Z = 264.81  
X = 19.705   Z = 264.87  
X = 19.63    Z = 264.87  
X = 19.56    Z = 264.79  
X = 19.49    Z = 264.655 
X = 19.425   Z = 264.54  
X = 19.35    Z = 264.485 
X = 19.27    Z = 264.495 
X = 19.19    Z = 264.575 
X = 19.115   Z = 264.555 
X = 19.045   Z = 264.455 
X = 18.97    Z = 264.415 
X = 18.895   Z = 264.35  
X = 18.825   Z = 264.295 
X = 18.75    Z = 264.25  
X = 18.67    Z = 264.255 
X = 18.59    Z = 264.305 
X = 18.505   Z = 264.38  
X = 18.425   Z = 264.42  
X = 18.35    Z = 264.425 
X = 18.275   Z = 264.405 
X = 18.195   Z = 264.42  
X = 18.115   Z = 264.395 
X = 18.04    Z = 264.375 
X = 17.96    Z = 264.39  
X = 17.885   Z = 264.41  
X = 17.805   Z = 264.385 
X = 17.73    Z = 264.34  
X = 17.65    Z = 264.36  
X = 17.575   Z = 264.37  
X = 17.5     Z = 264.285 
X = 17.425   Z = 264.235 
X = 17.345   Z = 264.26  
X = 17.27    Z = 264.265 
X = 17.195   Z = 264.205 
X = 17.12    Z = 264.125 
X = 17.04    Z = 264.19  
X = 16.96    Z = 264.215 
X = 16.885   Z = 264.125 
X = 16.815   Z = 264.025 
X = 16.74    Z = 263.99  
X = 16.66    Z = 264.01  
X = 16.575   Z = 264.115 
X = 16.495   Z = 264.125 
X = 16.42    Z = 264.075 
X = 16.345   Z = 264.03  
X = 16.27    Z = 264.015 
X = 16.195   Z = 263.945 
X = 16.125   Z = 263.845 
X = 16.045   Z = 263.86  
X = 15.965   Z = 263.91  
X = 15.885   Z = 263.87  
X = 15.81    Z = 263.835 
X = 15.735   Z = 263.815 
X = 15.655   Z = 263.82  
X = 15.58    Z = 263.81  
X = 15.505   Z = 263.715 
X = 15.435   Z = 263.61  
X = 15.355   Z = 263.605 
X = 15.275   Z = 263.67  
X = 15.195   Z = 263.74  
X = 15.11    Z = 263.77  
X = 15.035   Z = 263.75  
X = 14.96    Z = 263.675 
X = 14.885   Z = 263.63  
X = 14.81    Z = 263.645 
X = 14.73    Z = 263.625 
X = 14.655   Z = 263.595 
X = 14.575   Z = 263.57  
X = 14.505   Z = 263.47  
X = 14.43    Z = 263.41  
X = 14.35    Z = 263.43  
X = 14.27    Z = 263.445 
X = 14.19    Z = 263.445 
X = 14.115   Z = 263.42  
X = 14.04    Z = 263.38  
X = 13.96    Z = 263.345 
X = 13.885   Z = 263.33  
X = 13.81    Z = 263.295 
X = 13.73    Z = 263.29  
X = 13.655   Z = 263.28  
X = 13.575   Z = 263.225 
X = 13.5     Z = 263.18  
X = 13.425   Z = 263.165 
X = 13.345   Z = 263.19  
X = 13.265   Z = 263.205 
X = 13.185   Z = 263.2   
X = 13.11    Z = 263.17  
X = 13.035   Z = 263.145 
X = 12.955   Z = 263.17  
X = 12.875   Z = 263.185 
X = 12.795   Z = 263.205 
X = 12.715   Z = 263.245 
X = 12.635   Z = 263.26  
X = 12.56    Z = 263.2   
